artist	genres
3OH!3	dance pop, electropowerpop, emo, pop, pop punk, pop rap, post-teen pop
68	mathcore, progressive post-hardcore
5606	No data
A+ Dropouts	No data
Aaron West and the Roaring Twenties	alternative emo, anthem emo, pop punk
Abriel	Deathcore, Pop, Metalcore
The Acacia Strain	christian hardcore, death core, djent, mathcore, melodic metalcore, metalcore, progressive deathcore, rap metal, screamo
The Academy Is...	dreamo, emo, pop emo, pop punk, screamo
A Day to Remember	metalcore, pixie, pop punk, screamo
Adolescents	crossover thrash, hardcore punk, melodic hardcore, oi, punk, ska punk, skate punk
After the Burial	death core, djent, groove metal, mathcore, melodic metalcore, metalcore, rap metal, screamo
Against the Current	pixie, pop emo, pop punk, post-teen pop, viral pop
Agent Orange	crossover thrash, hardcore punk, punk, ska punk, skate punk
Aiden	emo, horror punk, metalcore, screamo
The Alarm	dance rock, indie christmas, jangle pop, new romantic, new wave, new wave pop, power pop, welsh rock
Alesana	emo, metalcore, pixie, pop punk, post-hardcore, screamo
Alestorm	comic, folk metal, metal, power metal, progressive metal, speed metal
Alive Like Me	pixie, post-screamo
Alkaline Trio	emo, melodic hardcore, pop punk, pop rock, punk, screamo, skate punk
The All-American Rejects	emo, neo mellow, pop, pop punk, pop rock, post-grunge
All That Remains	alternative metal, groove metal, melodic metalcore, metalcore, nu metal, post-grunge, rap metal, rap rock, screamo
All Time Low	pixie, pop, pop punk, post-teen pop, punk christmas, teen pop
Allister	emo, pop punk, punk, skate punk
Allstar Weekend	alternative pop rock, pop, post-teen pop, teen pop, viral pop
The Almost	christian alternative rock, christian christmas, christian metal, christian rock, dreamo, emo, pop punk, punk christmas, screamo
Alvarez Kings	sheffield indie
AM Taxi	No data
Amazing Royal Crowns	deep psychobilly
Amber Pacific	emo, piano rock, pop emo, pop punk, screamo
Amely	alternative pop rock, pop emo, pop punk, punk christmas
American Authors	brooklyn indie, indie poptimism, neo mellow, pop, pop rock
American Opera	No data 
American Pinup	No data
American Sixgun	modern southern rock
The Amity Affliction	metalcore, pixie, post-screamo, screamo
Amory	No data
Amplify This	triangle indie
Amyst	No data
A.N.I.M.A.L.	alternative dance, alternative rock, anti-folk, chamber pop, chillwave, dance-punk, dream pop, escape room, experimental rock, folk-pop, freak folk, indie folk, indie pop, indie r&b, indie rock, indietronica, lo-fi, neo-psychedelic, new rave, noise pop, noise rock, nu gaze, post rock, shimmer pop, synthpop
Anarbor	emo, pixie, pop emo, pop punk, punk christmas
Anberlin	alternative metal, christian alternative rock, christian christmas, christian rock, dreamo, emo, nu metal, pop punk, pop rock, post-grunge, punk christmas, screamo
And I've Landed	No data
Andrew W.K.	comic, pop punk
Andy Black	pixie, pop punk
Angels & Airwaves	emo, pop rock, post-grunge, space rock
Angry Samoans	crossover thrash, hardcore punk, punk
Animo	No data
Anthony Raneri of Bayside	No data
Anthrophobia	No data
Anti-Flag	melodic hardcore, pop punk, punk, ska punk, skate punk
Antiserum	No data
April Chase	No data
Assuming We Survive	anthem emo, pixie
The Aquabats	comic, punk, ska, ska punk, skate punk
Architects	mathcore, melodic metalcore, metalcore, rap metal, screamo
Armor for Sleep	dreamo, emo, pop punk, post-hardcore, progressive post-hardcore, screamo
The Arrogant Sons of Bitches	folk punk, ska, ska punk
Artist Vs Poet	alternative pop rock, indie rockism, pixie, pop emo, pop punk, punk christmas
As Cities Burn	christian hardcore, christian metal, christian punk, dreamo, metalcore, post-hardcore, progressive post-hardcore, screamo
Ascot Royals	anthem emo
As I Lay Dying	alternative metal, christian metal, death core, groove metal, melodic death metal, melodic metalcore, metalcore, nu metal, rap metal, screamo
As It Is	anthem emo, pixie, pop emo, pop punk
As Tall as Lions	dreamo, progressive post-hardcore
Asking Alexandria	alternative metal, melodic metalcore, metalcore, pixie, pop punk, rap metal, screamo
Assorted Jelly Beans	crack rock steady, punk, ska, ska punk, skate punk
The Ataris	emo, melodic hardcore, pop punk, pop rock, punk, skate punk
A Thorn for Every Heart	screamo
Atmosphere	alternative hip hop, hip hop, pop rap, underground pop rap
Atomic Fireballs	swing, traditional swing
Atreyu	alternative metal, emo, groove metal, melodic metalcore, metalcore, nu metal, pop punk, post-grunge, rap metal, rap rock, screamo
Attack Attack!	downtempo, electronic, nu jazz, trip hop
Attila	death core, melodic metalcore, metalcore, pixie, rap metal, screamo
The Audition	dreamo, emo, pop emo, pop punk, screamo
August Burns Red	christian christmas, christian metal, death core, heavy christmas, melodic metalcore, metalcore, pop christmas, punk christmas, rap metal, screamo
Authority Zero	melodic hardcore, pop punk, punk, reggae rock, ska, ska punk, skate punk
The Automatic	Indie rock, alternative rock, post-punk revival, post-hardcore, dance-punk 
Automatic Loveletter	emo, pop rock
Avail	melodic hardcore, orgcore, punk, skate punk
Avenged Sevenfold	alternative metal, alternative rock, nu metal, pop punk, post-grunge, rock
Avion Roe	pixie, pop emo
A Wilhelm Scream	alternative emo, emo, melodic hardcore, orgcore, pop punk, punk, skate punk
Baby Baby	No data
Bad Cop / Bad Cop	power-pop punk, skate punk
Bad Rabbits	boston rock
Bad Religion	alternative rock, funk rock, melodic hardcore, pop punk, punk, punk christmas, rock, skate punk
Bad Omens	metalcore, pixie, post-screamo, screamo
Bad Seed Rising	pixie, pop emo, post-screamo
The Ballroom Charades	No data
Ballyhoo!	reggae rock
Bangups	No data
Barb Wire Dolls	Grunge, Punk rock
Bayside	alternative emo, anthem emo, dreamo, emo, pop punk, post-hardcore, screamo
Beacher's Madhouse	No data
Beartooth	columbus ohio indie, emo, metalcore, pixie, pop punk, rap metal, screamo
Beatsteaks	deep german pop rock, german hip hop, german indie, german pop, german punk, reggae fusion
Beat Union	Pop punk
Beautiful Bodies	pixie, pop emo
Bebe Rexha	dance pop, edm, pop, post-teen pop, tropical house
Beck	alternative rock, anti-folk, classic rock, electronic, folk christmas, funk rock, garage rock, indie christmas, indie pop, indie rock, neo-psychedelic, permanent wave, pop rock, rock, singer-songwriter
Bedouin Soundclash	reggae rock
Beebs and Her Money Makers	ska
Being As An Ocean	alternative emo, anthem emo, metalcore, pixie, screamo
Between the Trees	alternative pop rock, dreamo, emo, piano rock, pop emo, pop punk
Beware Of Darkness	No data
Be Your Own Pet	dance-punk, garage rock, riot grrrl
Bif Naked	canadian indie, candy pop, lilith
Biffy Clyro	garage rock, indie rock, rock, scottish rock
Big B	east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, southern hip hop
Big Chocolate	death core, electronic trap
Big D and the Kids Table	folk punk, punk, punk christmas, ska, ska punk, skate punk
Big Drill Car	Punk rock, pop punk, melodic hardcore
Bi-Level	No data
Billy Idol	album rock, classic rock, dance rock, glam metal, hard rock, heavy christmas, mellow gold, new romantic, new wave, new wave pop, rock, soft rock, synthpop
Billy Talent	alternative metal, emo, nu metal, pop punk, post-grunge, punk
Black Boots	No data
Black Box	disco house, eurodance, europop, hip house, vocal house
The Black Dahlia Murder	death core, death metal, deathgrind, djent, groove metal, mathcore, melodic death metal, melodic metalcore, metal, metalcore, technical death metal
The Black Eyed Peas	dance pop, pop, pop rap, post-teen pop
Blackfire	Punk rock, alternative rock
The Black Pacific	melodic hardcore, skate punk
Black Square	punk ska
Black Tide	groove metal, melodic metalcore, metalcore
Blacklist Royals	alternative roots rock, orgcore
Black President	Punk rock, hardcore punk
Black Veil Brides	alternative metal, emo, metalcore, pixie, pop punk, rap metal, screamo
Blasé Debris	No data
The Bled	mathcore, melodic metalcore, metalcore, post-hardcore, progressive post-hardcore, screamo
The Bleeding Irish	celtic punk
Bleeding Orange	No data
Bleeding Through	christian hardcore, christian metal, death core, groove metal, melodic metalcore, metalcore, nu metal, rap metal
Bleed the Dream	punk christmas, screamo
Blessthefall	melodic metalcore, metalcore, pixie, post-screamo, rap metal, screamo
Blink-182	heavy christmas, pop punk, punk, punk christmas
Blood on the Dance Floor	electropowerpop, pixie, screamo
Bombay Cowtippers	No data
Born Cages	indie poptimism, indie psych-rock, indie rockism
Born of Osiris	death core, djent, groove metal, mathcore, melodic metalcore, metalcore, rap metal, screamo
Boston Manor	alternative emo, anthem emo, pixie, pop punk
The BOTS	No data
Bouncing Souls	emo, melodic hardcore, pop punk, punk, ska, ska punk, skate punk
Bowling for Soup	comic, emo, heavy christmas, pop punk, pop rock, post-grunge, punk, punk christmas, skate punk
Box Car Racer	emo, pop punk, punk, screamo, skate punk
BoyMeetsWorld	anthem emo
Boysetsfire	melodic hardcore, skate punk
Boys Like Girls	emo, neo mellow, pixie, pop, pop emo, pop punk, pop rock, post-teen pop, viral pop
Boys Night Out	alternative emo, dreamo, emo, melodic hardcore, pop punk, post-hardcore, progressive post-hardcore, screamo
Brand New	alternative emo, emo, pop punk, pop rock, screamo
Brass Tackz	No data
Breathe Carolina	big room, deep big room, edm, electro house, electropowerpop, emo, pixie, pop punk, progressive electro house, punk christmas, screamo
Breathe Electric	alternative pop rock, electropowerpop
Brian Marquis	folk, americana, whiskey
Britt Black	rock
The Briggs	celtic punk, heavy christmas, melodic hardcore, oi, punk, punk christmas, ska punk, skate punk
Bring Me The Horizon	alternative metal, metalcore, pixie, pop punk, screamo
Broadway Calls	alternative emo, melodic hardcore, orgcore, pop punk
Broadside	alternative emo, anthem emo, pixie, pop emo, pop punk
BrokeNCYDE	electropowerpop, pixie, screamo
The Bronx	garage rock, melodic hardcore, post-hardcore, punk, skate punk
Brothers Of Brazil	brazilian punk, rock gaucho
Buck-O-Nine	ska, ska punk, skate punk
Buffalo Casket	No data
Bullet For My Valentine	alternative metal, groove metal, melodic metalcore, metalcore, nu metal, pop punk, post-grunge, rap metal, rap rock, screamo
The Bunny The Bear	electropowerpop, pixie, post-post-hardcore, post-screamo, screamo
Burning Empires	No data
Buttons	No data
Call the Cops	alternative pop rock, electropowerpop
Callback California	No data
Campaigning For Zeros	No data
Candiria	jazz metal, mathcore, metalcore, rap metal, rap rock
Candy Hearts	alternative emo, candy pop, power-pop punk
Cane Hill	Nu metal, metalcore, alternative metal
Capsize	alternative emo, anthem emo, progressive post-hardcore
Captain Capa	electropunk, german indie
Carnifex	death core, melodic metalcore, metalcore, progressive deathcore, technical death metal
Carousel Kings	alternative emo, anthem emo, deep pop punk, pixie, pop emo, pop punk, post-screamo
Cartel	latin hip hop
Casket Architects	No data
The Casualties	crossover thrash, hardcore punk, oi, punk, ska punk, skate punk
CatchingYourClouds	alternative pop rock, pixie
Champagne Champagne	classic funk rock, disco, funk, funk rock, motown, post-disco, quiet storm, soul, urban contemporary
Charged GBH	brazilian punk, crossover thrash, hardcore punk, oi, punk, ska punk, skate punk
The Chariot	chaotic hardcore, christian hardcore, christian metal, dreamo, mathcore, melodic metalcore, metalcore, progressive post-hardcore, screamo
Charlotte Sometimes	acoustic pop, candy pop, deep talent show, folk-pop, lilith
Chase Long Beach	ska, ska punk
Chase Walker Band	Rock, Blues, Jazz
Chelsea Grin	death core, melodic metalcore, metalcore, rap metal, screamo
Cherri Bomb	hard rock
Cherry Poppin' Daddies	ska, ska punk, swing, traditional swing
Chiodos	emo, metalcore, pop punk, post-hardcore, progressive post-hardcore, screamo
The Chop Tops	deep psychobilly, psychobilly, rockabilly
Chuck Ragan of Hot Water Music	Folk rock, punk rock, folk punk
Chunk! No, Captain Chunk	anthem emo, emo, metalcore, pixie, pop emo, pop punk, post-screamo, screamo
ChrisB	No data
Cinder Road	grunge pop, hard alternative
Cinematic Sunrise	emo, piano rock, pop emo, pop punk
Circa Survive	alternative emo, dreamo, emo, pop punk, post-hardcore, progressive post-hardcore, screamo
Circle Jerks	crossover thrash, funk rock, grunge, hardcore, hardcore punk, oi, punk, ska punk, skate punk
Citizen	neo mellow, pop rock
Citizen X	No data
CIV	hardcore, melodic hardcore, skate punk, straight edge
TheCityShakeUp	No data
CKY	alternative metal, groove metal, heavy christmas, industrial metal, metalcore, nu metal, post-grunge, rap metal, rap rock
The Classic Crime	christian alternative rock, christian rock, dreamo, indie rockism
The Cleopatra Complex	electronica, alternative rock, pop
Close Your Eyes	christian hardcore, christian metal, metalcore, screamo
Closure in Moscow	dreamo, progressive post-hardcore, screamo
Cobra Starship	dance pop, emo, pop, pop punk, pop rap, pop rock, post-teen pop
Coheed and Cambria	alternative metal, emo, pop punk, screamo
Coldrain	j-metal, post-screamo
Cold Forty Three	pop, punk
Cold Fusion	martial industrial, neofolk
The Color Fred	dreamo, emo, pop punk
The Color Morale	melodic metalcore, metalcore, pixie, post-screamo, progressive post-hardcore, screamo
Columbyne	No data
The Confession	melodic metalcore, metalcore
Confide	metalcore, progressive post-hardcore, screamo
Continental	tico
The Constellations	Hip hop, rock
Counterparts	alternative emo, anthem emo, canadian metal, death core, deep melodic metalcore, melodic hardcore, metalcore, progressive post-hardcore, screamo
Courage My Love	metropopolis, pixie, pop emo
Corrin Campbell	alternative rock, Rock
Crashcarburn	deep pop emo, pop emo
Creeper	alt-indie rock, pixie
Crime in Stereo	alternative emo, emo, melodic hardcore, pop punk, straight edge
Crizzly	brostep, electronic trap
Crossfaith	j-metal, j-rock, metalcore, screamo
Crown the Empire	metalcore, pixie, pop punk, post-post-hardcore, post-screamo, punk christmas, screamo
Crowned King	No data
Cruel Hand	alternative emo, chaotic hardcore, hardcore, melodic hardcore, straight edge
Culture Shock Camp	No data
Cursed Sails	No data
Cute Is What We Aim For	emo, pixie, pop emo, pop punk, pop rock, screamo
D12	crunk, detroit hip hop, dirty south rap, gangster rap, hardcore hip hop, hip hop, pop rap, rap, southern hip hop
The Damned	alternative rock, dance rock, experimental rock, garage rock, gothic rock, hardcore punk, new wave, new wave pop, post-punk, power pop, pub rock, punk, punk blues, uk post-punk
Dance Gavin Dance	emo, metalcore, pixie, pop punk, progressive post-hardcore, screamo
Dance Hall Crashers	ska, ska punk, skate punk
The Dance Party	Rock, new wave, dance-punk, power pop
Dangerkids	pixie, post-screamo, screamo
Danger Radio	alternative pop rock, pop emo
The Dangerous Summer	alternative emo, anthem emo, dreamo, emo, pixie, pop emo, pop punk
Danielle Barbe	deep indie singer-songwriter
Dante	tropical house
Darkest Hour	alternative metal, christian metal, death core, djent, groove metal, mathcore, melodic death metal, melodic metalcore, metalcore, nu metal
The Darlings	columbus ohio indie
Dash | Ten	No data
DC Fallout	fast melodic punk
Dead Cat Lounge	No data
Dead Legend	No data
Dead Sara	No data
The Dear & Departed	No data
Dear and the Headlights	dreamo, pop punk, progressive post-hardcore
Defeater	alternative emo, anthem emo, chaotic hardcore, melodic hardcore, pop punk, screamo
Deftones	alternative metal, alternative rock, funk rock, groove metal, nu metal, post-grunge, rap metal, rap rock, rock
Demerit	chinese indie rock, street punk
Descendents	alternative rock, emo, hardcore punk, pop punk, punk, ska punk, skate punk
Deviates	melodic hardcore, punk, skate punk
The Devil Wears Prada	christian metal, death core, melodic metalcore, metalcore, rap metal, screamo
Desperation Squad	Avant-garde, Punk Rock, Outsider Music
D.I.	bolero, latin pop, romantico
Dick Dale	rockabilly, surf music
The Dickies	crossover thrash, hardcore punk, heavy christmas, oi, power-pop punk, pub rock, punk, punk christmas, skate punk
Die' Hunns	oi
Die Toten Hosen	deep german pop rock, german pop, german punk
The Dillinger Escape Plan	alternative metal, death core, djent, funk rock, groove metal, jazz metal, mathcore, melodic metalcore, metalcore, nu metal, post-hardcore, post-metal, sludge metal
The Dirty Nil	indie punk
Disco Ensemble	suomi rock
District 7	Punk rock, Pop punk, Melodic hardcore, Skate punk, Hardcore punk
Divided By Friday	alternative pop rock, pixie, pop emo, punk christmas
DJ Nicola Bear	No data
DJ Scout	No data
Dodger	No data
Does It Offend You, Yeah?	alternative dance, dance-punk, electroclash, indietronica, new rave, synthpop
Doll Skin	Rock, Punk Rock, Alternative Rock, Pop punk
Doozer	No data
Double XL	No data
Down by Law	melodic hardcore, power-pop punk, punk, skate punk
Drama Club	grunge pop, post-screamo
Dr. Madd Vibe	No data
Dr. Manhattan	Alternative rock, indie rock, electronic
Drive A	metalcore, pixie, pop emo, post-screamo, screamo
Driver Friendly	rock
Drop Dead, Gorgeous	metalcore, nintendocore, post-hardcore, progressive post-hardcore, screamo
Dropkick Murphys	boston rock, celtic punk, celtic rock, pop punk, punk, skate punk
D.R.U.G.S.	alternative rock, chamber pop, chillwave, dream pop, folk-pop, freak folk, indie folk, indie pop, indie rock, indietronica, neo-psychedelic, noise pop, roots rock, singer-songwriter, stomp and holler
Dose Of Adolescence	No data
The Dukes	alternative country, country rock, folk, folk rock, mellow gold, new americana, outlaw country, rock, roots rock, singer-songwriter, southern rock, texas country, traditional country, traditional folk
Dustin Jones and the Rising Tide	No data
The Early November	alternative emo, anthem emo, dreamo, emo, pop punk, post-hardcore, screamo
Echo Movement	reggae rock
Echosmith	neo mellow, pop, pop christmas, viral pop
Eden Row	No data
Edreys	Hip hop
Eighteen Visions	christian hardcore, mathcore, melodic metalcore, metalcore
Eightyonedays	No data
Electric Touch	lo star, piano rock
Eli Olsberg	No data
Emarosa	emo, metalcore, pixie, pop punk, post-hardcore, progressive post-hardcore, screamo
Emery	big room, deep big room, edm, electro house, progressive electro house, progressive house, progressive trance, trance, tropical house, uplifting trance
Emilie Autumn	cello, dark cabaret, steampunk, symphonic metal
Emily's Army	punk rock
Eminem	detroit hip hop, g funk, hip hop, pop rap, rap
Emmure	death core, groove metal, melodic metalcore, metalcore, nu metal, rap metal, screamo
Enough Already	No data
Enter Shikari	alternative metal, emo, metalcore, nintendocore, nu metal, pop punk, post-hardcore, rap metal, screamo
Entice	No data
Envy On The Coast	dreamo, emo, pop punk, progressive post-hardcore, screamo
Escape The Fate	alternative metal, emo, metalcore, pixie, pop punk, post-grunge, rap metal, screamo
Esham	detroit hip hop, horrorcore
Eternal Boy	Pop Punk
Evaline	dreamo
Evelynn	No data
Evergreen Terrace	christian hardcore, death core, melodic hardcore, melodic metalcore, metalcore
Every Avenue	alternative pop rock, emo, pixie, pop emo, pop punk
Every Time I Die	chaotic hardcore, dreamo, emo, mathcore, melodic metalcore, metalcore, pop punk, post-hardcore, progressive post-hardcore, screamo
The Expendables	reggae rock
The Exposed	No data
Eyes Set To Kill	melodic metalcore, metalcore, pixie, pop emo, screamo
The Fabulous Rudies	No data
Face to Face	emo, melodic hardcore, pop punk, punk, ska punk, skate punk
Face The King	No data
Fall From Grace	Alternative rock, Alternative Metal, Hardcore punk
The Fall of Troy	mathcore, metalcore, nintendocore, post-hardcore, progressive post-hardcore, screamo
Fall Out Boy	emo, pop punk
Falling In Reverse	metalcore, pixie, pop punk, rap metal, screamo
Falling Through April	No data
False Puppet	No data
Family Force 5	ccm, christian alternative rock, christian christmas, christian hip hop, christian music, christian rock
The Fantastic Plastics	No data
Farewell	anthem emo, pixie
Farewell Winters	No data
