year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
emo,0.0470588235294,0.0185185185185,0.0144927536232,0.0254237288136,0.0277777777778,0.017316017316,0.0493273542601,0.066852367688,0.0830188679245,0.0892307692308,0.0774774774775,0.076354679803,0.0538116591928,0.0523255813953,0.0600600600601,0.0580474934037,0.0546318289786,0.053738317757,0.0558882235529,0.0529531568228,0.0548628428928,0.0542986425339,0.0248306997743
pop,0.0117647058824,0.0,0.0,0.0,0.0138888888889,0.00865800865801,0.00448430493274,0.00278551532033,0.00754716981132,0.00307692307692,0.00900900900901,0.00985221674877,0.00597907324365,0.0116279069767,0.015015015015,0.0158311345646,0.0118764845606,0.00934579439252,0.0119760479042,0.0142566191446,0.0074812967581,0.0158371040724,0.00225733634312
pop punk,0.0352941176471,0.0648148148148,0.0942028985507,0.0423728813559,0.0763888888889,0.0649350649351,0.103139013453,0.111420612813,0.120754716981,0.113846153846,0.0954954954955,0.0935960591133,0.0717488789238,0.078488372093,0.105105105105,0.0923482849604,0.0736342042755,0.0771028037383,0.0818363273453,0.071283095723,0.0897755610973,0.0882352941176,0.0541760722348
progressive post-hardcore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111420612813,0.00754716981132,0.0153846153846,0.0216216216216,0.0295566502463,0.0149476831091,0.0145348837209,0.018018018018,0.0105540897098,0.00712589073634,0.00700934579439,0.00998003992016,0.010183299389,0.00997506234414,0.0203619909502,0.0158013544018
alternative emo,0.0,0.0,0.0,0.00423728813559,0.0,0.004329004329,0.0,0.0139275766017,0.011320754717,0.0123076923077,0.0126126126126,0.0221674876847,0.0104633781764,0.0101744186047,0.00900900900901,0.0105540897098,0.0142517814727,0.0303738317757,0.0179640718563,0.020366598778,0.0448877805486,0.0294117647059,0.0225733634312
anthem emo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00557103064067,0.00754716981132,0.00615384615385,0.00540540540541,0.012315270936,0.00747384155456,0.00726744186047,0.00600600600601,0.00527704485488,0.0118764845606,0.0257009345794,0.0199600798403,0.0244399185336,0.0548628428928,0.0384615384615,0.0270880361174
metalcore,0.0,0.00925925925926,0.00724637681159,0.00847457627119,0.0208333333333,0.00865800865801,0.00448430493274,0.0194986072423,0.0264150943396,0.0307692307692,0.0378378378378,0.0369458128079,0.0418535127055,0.0406976744186,0.042042042042,0.0422163588391,0.0403800475059,0.0584112149533,0.063872255489,0.061099796334,0.0648379052369,0.0588235294118,0.0632054176072
melodic metalcore,0.0,0.00925925925926,0.0,0.00423728813559,0.00694444444444,0.004329004329,0.00448430493274,0.008356545961,0.0150943396226,0.0184615384615,0.018018018018,0.0221674876847,0.0269058295964,0.0261627906977,0.012012012012,0.023746701847,0.0237529691211,0.0327102803738,0.0279441117764,0.0285132382892,0.0224438902743,0.0248868778281,0.020316027088
rap metal,0.0352941176471,0.0185185185185,0.0434782608696,0.0254237288136,0.0277777777778,0.025974025974,0.00896860986547,0.008356545961,0.00754716981132,0.00307692307692,0.00900900900901,0.00985221674877,0.0119581464873,0.0130813953488,0.012012012012,0.0184696569921,0.0261282660333,0.0257009345794,0.0219560878244,0.0346232179226,0.0324189526185,0.0226244343891,0.0338600451467
screamo,0.0,0.0,0.0,0.0,0.0,0.004329004329,0.0134529147982,0.0389972144847,0.0603773584906,0.0707692307692,0.0594594594595,0.0665024630542,0.0627802690583,0.0523255813953,0.0540540540541,0.0606860158311,0.0522565320665,0.0817757009346,0.0838323353293,0.0875763747454,0.0922693266833,0.0814479638009,0.0632054176072
dreamo,0.0,0.0,0.0,0.00423728813559,0.0,0.004329004329,0.00896860986547,0.0222841225627,0.022641509434,0.0153846153846,0.0216216216216,0.0369458128079,0.0269058295964,0.0174418604651,0.00900900900901,0.00791556728232,0.0118764845606,0.00700934579439,0.0059880239521,0.0081466395112,0.0,0.00452488687783,0.00225733634312
pop emo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00557103064067,0.00754716981132,0.00307692307692,0.0108108108108,0.012315270936,0.0239162929746,0.030523255814,0.03003003003,0.0290237467018,0.0308788598575,0.0233644859813,0.0319361277445,0.030549898167,0.0399002493766,0.0339366515837,0.0135440180587
pixie,0.0,0.0,0.0,0.0,0.0,0.0,0.00448430493274,0.00557103064067,0.00377358490566,0.0123076923077,0.0108108108108,0.0147783251232,0.0224215246637,0.0247093023256,0.039039039039,0.0501319261214,0.0380047505938,0.0560747663551,0.0718562874251,0.071283095723,0.109725685786,0.0859728506787,0.0632054176072
melodic hardcore,0.0705882352941,0.0555555555556,0.0507246376812,0.0466101694915,0.0416666666667,0.04329004329,0.0358744394619,0.0389972144847,0.0377358490566,0.0338461538462,0.0306306306306,0.0246305418719,0.0224215246637,0.0247093023256,0.03003003003,0.0184696569921,0.0166270783848,0.0257009345794,0.0159680638723,0.0122199592668,0.0174563591022,0.0158371040724,0.0225733634312
punk,0.0588235294118,0.0833333333333,0.0942028985507,0.0593220338983,0.0763888888889,0.0519480519481,0.085201793722,0.066852367688,0.0566037735849,0.0615384615385,0.036036036036,0.0270935960591,0.0313901345291,0.0290697674419,0.042042042042,0.0395778364116,0.0237529691211,0.0140186915888,0.0139720558882,0.0122199592668,0.00498753117207,0.0226244343891,0.0316027088036
ska punk,0.0470588235294,0.0462962962963,0.0507246376812,0.0677966101695,0.0486111111111,0.030303030303,0.0269058295964,0.041782729805,0.0377358490566,0.0369230769231,0.0252252252252,0.0221674876847,0.0209267563528,0.0174418604651,0.024024024024,0.0263852242744,0.0142517814727,0.00467289719626,0.00998003992016,0.0040733197556,0.00249376558603,0.0135746606335,0.0270880361174
skate punk,0.0588235294118,0.0833333333333,0.0797101449275,0.0593220338983,0.0763888888889,0.0519480519481,0.0762331838565,0.0724233983287,0.0566037735849,0.0553846153846,0.0342342342342,0.0270935960591,0.034379671151,0.0276162790698,0.042042042042,0.0369393139842,0.0237529691211,0.0116822429907,0.0139720558882,0.0122199592668,0.0124688279302,0.0203619909502,0.0316027088036
post-hardcore,0.0235294117647,0.00925925925926,0.00724637681159,0.0127118644068,0.0,0.00865800865801,0.00448430493274,0.0278551532033,0.0377358490566,0.0338461538462,0.0396396396396,0.0467980295567,0.0254110612855,0.0188953488372,0.015015015015,0.0131926121372,0.00475059382423,0.0163551401869,0.00998003992016,0.010183299389,0.0124688279302,0.00904977375566,0.00677200902935
pop rock,0.0235294117647,0.0185185185185,0.0289855072464,0.0169491525424,0.0138888888889,0.030303030303,0.0269058295964,0.0362116991643,0.0415094339623,0.0276923076923,0.0216216216216,0.0197044334975,0.0209267563528,0.0174418604651,0.018018018018,0.0263852242744,0.0142517814727,0.0140186915888,0.0199600798403,0.020366598778,0.00498753117207,0.0203619909502,0.00902934537246
post-grunge,0.0352941176471,0.0277777777778,0.036231884058,0.0254237288136,0.0347222222222,0.021645021645,0.0358744394619,0.0306406685237,0.0377358490566,0.0338461538462,0.0216216216216,0.0172413793103,0.0149476831091,0.0116279069767,0.015015015015,0.0131926121372,0.0118764845606,0.0116822429907,0.0119760479042,0.0081466395112,0.00249376558603,0.0180995475113,0.00677200902935
alternative metal,0.0235294117647,0.0185185185185,0.0434782608696,0.0296610169492,0.0277777777778,0.021645021645,0.0224215246637,0.025069637883,0.0264150943396,0.0215384615385,0.0216216216216,0.0172413793103,0.0224215246637,0.015988372093,0.00900900900901,0.023746701847,0.0142517814727,0.0116822429907,0.0119760479042,0.0122199592668,0.0074812967581,0.0158371040724,0.0135440180587
nu metal,0.0117647058824,0.0185185185185,0.0289855072464,0.0254237288136,0.0277777777778,0.025974025974,0.0179372197309,0.0194986072423,0.022641509434,0.0153846153846,0.018018018018,0.012315270936,0.01644245142,0.0130813953488,0.00900900900901,0.0211081794195,0.00712589073634,0.00700934579439,0.00798403193613,0.010183299389,0.0,0.0158371040724,0.00902934537246
alternative rock,0.0470588235294,0.0462962962963,0.0434782608696,0.0338983050847,0.00694444444444,0.030303030303,0.00448430493274,0.0222841225627,0.0188679245283,0.0123076923077,0.00720720720721,0.00985221674877,0.0104633781764,0.0101744186047,0.012012012012,0.0,0.00950118764846,0.00700934579439,0.00998003992016,0.0040733197556,0.00249376558603,0.0,0.00451467268623
rock,0.0235294117647,0.0185185185185,0.0289855072464,0.0254237288136,0.00694444444444,0.012987012987,0.00448430493274,0.00557103064067,0.00377358490566,0.00615384615385,0.00540540540541,0.00492610837438,0.00597907324365,0.00290697674419,0.003003003003,0.0,0.00712589073634,0.00467289719626,0.0059880239521,0.0040733197556,0.00498753117207,0.0,0.00677200902935
